comment,label
"film world full of geek culture adaptations daley and goldsteins 2023 adaptation is functional and rewarding film that dungeons dragons fans have long awaited",1
"takes its fantasy world seriously but not itself",1
"its popcorn japery fine form swords against sorcery sorcery against monsters monsters against swords and around and around while charismatic cast slambangs the consistently amusing setuponeliner dialogue",1
"dungeons dragons honor among thieves is great representation of how players imagine games their private spaces playing out",1
"just like game the movie leaves you wanting more adventures whether its from this same cast or others this world its about time we got to see the magic of dd the big screen",1
"goldstein and daley keep jokes and the action running tandem and add just enough emotional weight like edgins concern for his daughter to make it all not seem too frivolous",1
"if you didnt know how to play dungeons and dragons before seeing movie subtitled honor among thieves you wont after seeing it either but you can say you were entertained",1
"ultimately bighearted crowdpleaser",1
"dungeons dragons honor among thieves builds towards typically exhausting climax that ensures it finishes just about as underwhelming and interminable a note as one could possibly envision",0
"story of motley crew who dares to defeat a dangerous big bad is entertaining and likable and worth watching not only for rpg fans",1
"honour among thieves odd moments of sincerity largely crumble in face of amusement and outlandishness it is by tapping into the very soul of dungeons and dragons that this film manages to stand proud as worthy namesake",1
"brings game to life with scent of guardians of the galaxy",1
"its all good fun never makes mistake of taking itself too seriously and hugh grant does fine line oily baddies",1
"if you are looking for fun movie to go watch this weekend that has great action but isnt too violent and contains a lot of fun then dungeons dragons honor among thieves is definitely a mustsee",1
"its as though dungeons dragons honor among thieves made smoothie with spaceballs and avengers to a sidesplitting effect",1
"bigbudget crowdpleaser it is wellcast wellcrafted and just plain fun oldschool spectacle that makes a compelling case for sitting dark with a hundred or more strangers and just enjoying the show",1
"itll leave you wanting more we deserve more",1
"dungeons and dragons honor among thieves is crowd pleasing infinitely enjoyable and super fun movie that never feels distant heavy or inaccessible chris pine provides a much needed wink and charm while michelle rodriguez kicks much ass this one",1
"silly swaggering swashbuckling screen adaptation of popular improvisational roleplaying fantasy game if youve never played dd learn bit about it before you go",1
"dungeons dragons honor among thieves uses cgi many creative and funny ways effects lend themselves to the comedy",1
"dungeons and dragons honor among thieves is lot of fun a lot of fun its energetic campy and full of action has chris pine ever been this enjoyable to watch hes great and no you dont need to know a thing about dd to enjoy this movie",1
"thirdtier lord of rings knockoff the material just doesnt lend itself to a movie",0
"dungeon dragons honor among thieves is fine film that delivers what trailers promised this fantasy action comedy is entertaining and left me content",1
"pine is gem surrounding cast are all strong and the world is wellbuilt but the number one thing this writerdirector team gets right is the understanding that both the game and popcorn movies are supposed to be fun theres a lot of fun here",1
